"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"
"1066"	"greater kudu"	"D2301170748"	74.16	"Tragelaphus"	"strepsiceros"	NA	"47"	"dry skin"	"94-05-02"	"BP26"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box3"	"TstrNam_0748"
"1067"	"greater kudu"	"D2301170821"	76.34	"Tragelaphus"	"strepsiceros"	NA	"48"	"dry skin"	"94-05-02"	"BP27"	NA	NA	NA	"Namibia"	"Corona (Gamsberg)"	"Box5"	"TstrNam_0821"
"1265"	"greater kudu"	"D2301170822"	73.22	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM16"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0822"
"1266"	"greater kudu"	"D2301170823"	80.52	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM17"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0823"
"1267"	"greater kudu"	"D2301170824"	71.28	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM18"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0824"
"1268"	"greater kudu"	"D2301170825"	69.78	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM19"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0825"
"1269"	"greater kudu"	"D2301170826"	59.16	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM20"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0826"
"1270"	"greater kudu"	"D2301170827"	64.66	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM21"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0827"
"1271"	"greater kudu"	"D2301170828"	69.94	"Tragelaphus"	"strepsiceros"	NA	NA	"dry skin"	"94-08-03"	"JM22"	"Joergen Madsen, KVL"	NA	NA	"Zimbabwe"	NA	"Box5"	"TstrZim_0828"
"1505"	"greater kudu"	"D2301170829"	52.4	"Tragelaphus"	"strepsiceros"	NA	"54"	"earnick"	"94-08-15"	"EA03"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Shangani"	"Box5"	"TstrZim_0829"
"1506"	"greater kudu"	"D2301170830"	69.28	"Tragelaphus"	"strepsiceros"	NA	"55"	"earnick"	"94-08-26"	"EA02"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Shangani"	"Box5"	"TstrZim_0830"
