P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TspeGha	ScafKen	TimbEth	0.025709	16.3596	2.3e-16	850992	684857	650525
TspeTan	ScafKen	TimbEth	0.0265578	16.1835	2.3e-16	851732	687270	651710
TspeZam	ScafKen	TimbEth	0.0265356	16.794	2.3e-16	841971	680824	645625
TstrBot	ScafKen	TimbEth	0.0215976	15.4295	2.3e-16	828619	672958	644504
TstrNA-	ScafKen	TimbEth	0.0285391	20.8421	2.3e-16	813422	675284	637809
TstrNam	ScafKen	TimbEth	0.0221005	16.0183	2.3e-16	827386	672704	643612
TstrRSA	ScafKen	TimbEth	0.0213783	14.8211	2.3e-16	819253	666358	638463
TstrTan	ScafKen	TimbEth	0.0216217	15.7559	2.3e-16	827307	672374	643914
TstrZam	ScafKen	TimbEth	0.0205506	15.1892	2.3e-16	818926	666949	640089
TstrZim	ScafKen	TimbEth	0.0214693	15.1526	2.3e-16	822772	670042	641876
TimbSom	TimbKen	ScafKen	0.00539936	1.77412	0.0760439	1.30315e+06	29847.5	29526.9
TimbTan	TimbKen	ScafKen	0.0127251	2.84931	0.00438137	1.30391e+06	30044.9	29289.8
TimbUga	TimbKen	ScafKen	0.023245	6.50615	7.71001e-11	1.2677e+06	32329	30860.1
ToryBot	ScafKen	TimbKen	0.0187459	8.37516	2.3e-16	831832	710561	684411
ToryEth	ScafKen	TimbKen	0.0185193	8.27878	2.3e-16	836469	713288	687349
ToryKen	ScafKen	TimbKen	0.0199292	8.98889	2.3e-16	819942	701826	674399
ToryNam	ScafKen	TimbKen	0.0187478	8.29633	2.3e-16	835336	713261	687009
ToryRSA	ScafKen	TimbKen	0.0213212	9.3583	2.3e-16	776919	668356	640450
ToryTan	ScafKen	TimbKen	0.0186746	8.37001	2.3e-16	831074	710662	684606
ToryZam	ScafKen	TimbKen	0.019034	8.45152	2.3e-16	834876	712787	686160
ToryZim	ScafKen	TimbKen	0.0203878	9.34217	2.3e-16	810227	695112	667334
TscrGha	ScafKen	TimbKen	0.0272819	20.4482	2.3e-16	898131	653706	618985
TspeBot	ScafKen	TimbKen	0.0268299	17.3298	2.3e-16	868708	701052	664417
TspeCam	ScafKen	TimbKen	0.0285049	17.2082	2.3e-16	875024	706223	667077
TspeCon	ScafKen	TimbKen	0.0276219	17.0667	2.3e-16	873676	704309	666446
TspeDRC	ScafKen	TimbKen	0.0287388	17.3696	2.3e-16	874075	706152	666698
TspeGha	ScafKen	TimbKen	0.0265347	16.881	2.3e-16	869201	700270	664067
TspeTan	ScafKen	TimbKen	0.0273796	16.7253	2.3e-16	869945	702720	665265
TspeZam	ScafKen	TimbKen	0.0274176	17.3519	2.3e-16	860000	696191	659034
TstrBot	ScafKen	TimbKen	0.0229746	16.2216	2.3e-16	846168	688257	657343
TstrNA-	ScafKen	TimbKen	0.0300371	21.4839	2.3e-16	830610	690739	650454
TstrNam	ScafKen	TimbKen	0.0235573	16.813	2.3e-16	844964	688071	656399
TstrRSA	ScafKen	TimbKen	0.0228082	15.6283	2.3e-16	836634	681546	651149
TstrTan	ScafKen	TimbKen	0.0230706	16.5106	2.3e-16	844855	687740	656723
TstrZam	ScafKen	TimbKen	0.0219824	15.7623	2.3e-16	836277	682102	652759
TstrZim	ScafKen	TimbKen	0.0229282	15.8464	2.3e-16	840208	685312	654590
TimbTan	TimbSom	ScafKen	0.00734092	2.15376	0.0312589	1.30601e+06	29371.4	28943.3
TimbUga	TimbSom	ScafKen	0.0197922	6.22722	4.7478e-10	1.27005e+06	31332.6	30116.4
ToryBot	ScafKen	TimbSom	0.0191511	8.5176	2.3e-16	833573	711875	685121
ToryEth	ScafKen	TimbSom	0.0189589	8.47609	2.3e-16	838190	714620	688027
ToryKen	ScafKen	TimbSom	0.0203783	9.16854	2.3e-16	821668	703145	675060
ToryNam	ScafKen	TimbSom	0.0191825	8.49393	2.3e-16	837080	714603	687703
ToryRSA	ScafKen	TimbSom	0.0217555	9.55227	2.3e-16	778484	669615	641100
ToryTan	ScafKen	TimbSom	0.0191388	8.58008	2.3e-16	832838	712004	685262
ToryZam	ScafKen	TimbSom	0.0194684	8.63738	2.3e-16	836650	714110	686836
ToryZim	ScafKen	TimbSom	0.0208669	9.58379	2.3e-16	811930	696429	667959
TscrGha	ScafKen	TimbSom	0.0275602	20.1514	2.3e-16	899832	654755	619633
TspeBot	ScafKen	TimbSom	0.027672	17.5665	2.3e-16	870610	702451	664621
TspeCam	ScafKen	TimbSom	0.0293007	17.5398	2.3e-16	876949	707634	667346
TspeCon	ScafKen	TimbSom	0.0285058	17.5335	2.3e-16	875619	705748	666627
