P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderUga	TimbUga	ScafKen	0.00467429	2.01183	0.0442381	1.07575e+06	1.43978e+06	1.42638e+06
ToryBot	TderUga	ScafKen	0.0153703	9.1626	2.3e-16	4.52557e+06	485982	471268
ToryEth	TderUga	ScafKen	0.0125312	7.45973	8.67004e-14	4.53239e+06	483040	471084
ToryKen	TderUga	ScafKen	0.0128116	7.96031	1.71618e-15	4.53106e+06	483230	471005
ToryNam	TderUga	ScafKen	0.0132585	7.91547	2.46309e-15	4.53051e+06	483908	471244
ToryRSA	TderUga	ScafKen	0.0130901	7.51189	5.82797e-14	4.52726e+06	484014	471506
ToryTan	TderUga	ScafKen	0.0135465	8.41019	2.3e-16	4.52988e+06	484226	471282
ToryZam	TderUga	ScafKen	0.0138399	8.30732	2.3e-16	4.53153e+06	484192	470972
ToryZim	TderUga	ScafKen	0.0177365	10.9017	2.3e-16	4.51754e+06	488929	471887
TderUga	TscrGha	ScafKen	0.126567	45.0807	2.3e-16	1.89463e+06	1.25926e+06	976311
TderUga	TspeBot	ScafKen	0.0448937	21.7953	2.3e-16	2.28934e+06	1.02041e+06	932725
TderUga	TspeCam	ScafKen	0.0439928	21.1859	2.3e-16	2.29458e+06	1.02416e+06	937843
TderUga	TspeCon	ScafKen	0.0461215	23.907	2.3e-16	2.29418e+06	1.02259e+06	932423
TderUga	TspeDRC	ScafKen	0.0439154	21.7888	2.3e-16	2.29484e+06	1.02386e+06	937718
TderUga	TspeGha	ScafKen	0.0461896	25.3067	2.3e-16	2.29182e+06	1.02075e+06	930619
TderUga	TspeTan	ScafKen	0.0437917	20.1292	2.3e-16	2.28783e+06	1.02127e+06	935573
TderUga	TspeZam	ScafKen	0.044255	21.3818	2.3e-16	2.28695e+06	1.02042e+06	933932
TstrBot	TderUga	ScafKen	0.0885489	23.9133	2.3e-16	2.0662e+06	1.21776e+06	1.01964e+06
TstrNA-	TderUga	ScafKen	0.098438	27.2734	2.3e-16	2.05271e+06	1.23365e+06	1.01254e+06
TstrNam	TderUga	ScafKen	0.0890646	24.0487	2.3e-16	2.06574e+06	1.2172e+06	1.01811e+06
TstrRSA	TderUga	ScafKen	0.0864563	23.6917	2.3e-16	2.06532e+06	1.21286e+06	1.01983e+06
TstrTan	TderUga	ScafKen	0.08834	23.9429	2.3e-16	2.06441e+06	1.21658e+06	1.01908e+06
TstrZam	TderUga	ScafKen	0.0884355	23.9367	2.3e-16	2.06729e+06	1.2159e+06	1.01831e+06
TstrZim	TderUga	ScafKen	0.0884294	23.923	2.3e-16	2.06377e+06	1.21623e+06	1.0186e+06
TimbAby	TimbEth	ScafKen	0.0125396	5.95441	2.61013e-09	3.4256e+06	71045.8	69286.1
TimbAby	TimbKen	ScafKen	0.0214614	13.088	2.3e-16	3.43478e+06	67699.9	64855.1
TimbSom	TimbAby	ScafKen	0.000511001	0.26102	0.794077	3.43484e+06	69653.8	69582.6
TimbAby	TimbTan	ScafKen	0.0101506	4.86307	1.15579e-06	3.43809e+06	67220.7	65869.8
TimbAby	TimbUga	ScafKen	0.0204604	9.75833	2.3e-16	3.4417e+06	67400.5	64697.7
ToryBot	TimbAby	ScafKen	0.00884949	3.6263	0.000287513	1.07052e+06	1.44825e+06	1.42284e+06
ToryEth	TimbAby	ScafKen	0.00789098	3.25143	0.00114826	1.07065e+06	1.44656e+06	1.42391e+06
