P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderUga	TspeCon	ScafKen	0.0428057	25.2117	2.3e-16	1.47471e+06	618118	567372
TderUga	TspeDRC	ScafKen	0.0406557	22.5814	2.3e-16	1.47622e+06	619386	570991
TderUga	TspeGha	ScafKen	0.0432226	26.1444	2.3e-16	1.46824e+06	615119	564148
TderUga	TspeTan	ScafKen	0.0415038	19.86	2.3e-16	1.47389e+06	618924	569596
TderUga	TspeZam	ScafKen	0.0405739	20.4919	2.3e-16	1.45155e+06	609395	561872
TderUga	TstrBot	ScafKen	0.0317697	18.8287	2.3e-16	1.36942e+06	615826	577901
TderUga	TstrNA-	ScafKen	0.0190488	10.8034	2.3e-16	1.34734e+06	605803	583154
TderUga	TstrNam	ScafKen	0.0303431	17.7899	2.3e-16	1.36864e+06	615315	579073
TderUga	TstrRSA	ScafKen	0.0318996	18.801	2.3e-16	1.3542e+06	609308	571637
TderUga	TstrTan	ScafKen	0.0319902	19.0533	2.3e-16	1.3687e+06	615459	577302
TderUga	TstrZam	ScafKen	0.0319007	18.7205	2.3e-16	1.36798e+06	615137	577104
TderUga	TstrZam1	ScafKen	0.0320112	19.0111	2.3e-16	1.36083e+06	609830	571998
TderUga	TstrZim	ScafKen	0.0315455	18.7683	2.3e-16	1.36825e+06	615253	577624
TimbAby	TimbEth	ScafKen	0.0302484	12.0132	2.3e-16	1.29929e+06	38955	36667.5
TimbAby	TimbKen	ScafKen	0.0320753	16.2716	2.3e-16	1.30141e+06	36986.9	34687.9
TimbAby	TimbSom	ScafKen	0.00222867	1.12334	0.261295	1.30203e+06	36570.3	36407.7
TimbAby	TimbTan	ScafKen	0.0226604	9.56881	2.3e-16	1.30161e+06	36797.8	35167
TimbAby	TimbUga	ScafKen	0.0177303	7.15226	8.53595e-13	1.3032e+06	35616	34375
ToryBot1	ScafKen	TimbAby	0.01611	7.30334	2.80721e-13	839611	715868	693169
ToryBot2	ScafKen	TimbAby	0.0153008	6.991	2.72924e-12	840127	714933	693385
ToryEth1	ScafKen	TimbAby	0.0151751	6.85974	6.89874e-12	840451	714608	693243
ToryEth2	ScafKen	TimbAby	0.0152821	6.92878	4.24494e-12	839929	714672	693157
ToryKen1	ScafKen	TimbAby	0.0166691	7.62315	2.47562e-14	823182	702543	679506
ToryKen2	ScafKen	TimbAby	0.0204204	8.97946	2.3e-16	719287	621587	596709
ToryNam1	ScafKen	TimbAby	0.0150907	6.89265	5.47621e-12	840371	714734	693483
ToryNam2	ScafKen	TimbAby	0.0151408	6.89901	5.23649e-12	840253	714835	693511
ToryRSA	ScafKen	TimbAby	0.0181701	8.09881	5.55003e-16	779943	669154	645271
ToryTan1	ScafKen	TimbAby	0.015471	7.03464	1.99771e-12	840115	715112	693322
ToryTan2	ScafKen	TimbAby	0.0155053	7.00406	2.48656e-12	839892	715158	693319
ToryZam1	ScafKen	TimbAby	0.0152629	7.00652	2.44316e-12	839970	715057	693558
ToryZam2	ScafKen	TimbAby	0.0155948	7.10929	1.16639e-12	840296	715380	693410
ToryZim1	ScafKen	TimbAby	0.0159783	7.3254	2.38187e-13	839447	715998	693477
ToryZim2	ScafKen	TimbAby	0.016602	7.56258	3.95147e-14	838995	716626	693220
TscrGha	ScafKen	TimbAby	0.0264708	19.309	2.3e-16	902001	655379	621577
TspeBot	ScafKen	TimbAby	0.0250368	16.3747	2.3e-16	876938	705577	671109
TspeCam	ScafKen	TimbAby	0.0271476	17.0594	2.3e-16	878855	708991	671514
TspeCon	ScafKen	TimbAby	0.0263165	16.4354	2.3e-16	877620	705808	669611
TspeDRC	ScafKen	TimbAby	0.0272667	17.3828	2.3e-16	878600	708937	671302
TspeGha	ScafKen	TimbAby	0.0251962	16.2684	2.3e-16	873141	701728	667235
TspeTan	ScafKen	TimbAby	0.0253734	15.7595	2.3e-16	877273	706680	671705
TspeZam	ScafKen	TimbAby	0.0260693	16.4101	2.3e-16	863918	697650	662200
TstrBot	ScafKen	TimbAby	0.0221175	15.9751	2.3e-16	849597	690482	660599
TstrNA-	ScafKen	TimbAby	0.0286799	20.8751	2.3e-16	834345	692247	653647
TstrNam	ScafKen	TimbAby	0.0226684	16.3384	2.3e-16	848812	691389	660738
TstrRSA	ScafKen	TimbAby	0.0213424	14.8035	2.3e-16	840346	682948	654406
TstrTan	ScafKen	TimbAby	0.0202648	14.7258	2.3e-16	848506	689164	661787
TstrZam	ScafKen	TimbAby	0.0199533	14.62	2.3e-16	847865	688706	661760
TstrZam1	ScafKen	TimbAby	0.0215296	15.9542	2.3e-16	842659	684869	656001
TstrZim	ScafKen	TimbAby	0.0200299	14.3756	2.3e-16	847913	689097	662034
TimbEth	TimbKen	ScafKen	0.000146443	0.102758	0.918155	1.3005e+06	36086	36075.4
TimbSom	TimbEth	ScafKen	0.0287892	12.4503	2.3e-16	1.30088e+06	37975	35849.6
TimbTan	TimbEth	ScafKen	0.00909287	4.49554	6.93937e-06	1.30078e+06	36500.3	35842.5
TimbUga	TimbEth	ScafKen	0.0162397	8.46909	2.3e-16	1.30564e+06	32634.8	31591.7
